
 ================================================================================================================================
   Kinetic data summary @  298.15K
 ================================================================================================================================
        Reaction                                                                        DG            DH            DS               
                                                                                        [kcal/mol]    [kcal/mol]    [cal/mol/K]      
 ================================================================================================================================
 1      H2+M=2H+M                                                                       97.160        104.195       23.597        
 2      H2+O=H+OH                                                                       1.022         1.501         1.606         
 3      H2+OH=H+H2O                                                                     -13.882       -14.659       -2.608        
 4      2O+M=O2+M                                                                       -110.788      -119.124      -27.961       
 5      H+O2=O+OH                                                                       14.650        16.430        5.970         
 6      H+OH+M=H2O+M                                                                    -111.042      -118.855      -26.205       
 7      O+H2O=2OH                                                                       14.904        16.160        4.215         
 8      H+O+M=OH+M                                                                      -96.138       -102.695      -21.991       
 9      H2O2(+M)=2OH(+M)                                                                40.830        50.314        31.810        
 10     H+H2O2=H2O+OH                                                                   -70.212       -68.541       5.605         
 11     H+H2O2=H2+HO2                                                                   -17.542       -16.781       2.556         
 12     O+H2O2=OH+HO2                                                                   -16.521       -15.280       4.162         
 13     OH+H2O2=H2O+HO2                                                                 -31.424       -31.440       -0.052        
 14     OH+H2O2=H2O+HO2                                                                 -31.424       -31.440       -0.052        
 15     H+HO2=2OH                                                                       -38.788       -37.101       5.657         
 16     H+HO2=H2+O2                                                                     -54.459       -55.032       -1.919        
 17     O+HO2=O2+OH                                                                     -53.438       -53.531       -0.313        
 18     OH+HO2=O2+H2O                                                                   -68.341       -69.691       -4.527        
 19     OH+HO2=O2+H2O                                                                   -68.341       -69.691       -4.527        
 20     2HO2=O2+H2O2                                                                    -36.917       -38.251       -4.475        
 21     2HO2=O2+H2O2                                                                    -36.917       -38.251       -4.475        
 22     H+O2(+M)=HO2(+M)                                                                -42.701       -49.164       -21.678       
 23     O+CO(+M)=CO2(+M)                                                                -116.855      -127.182      -34.637       
 24     OH+CO=H+CO2                                                                     -20.717       -24.487       -12.647       
 25     OH+CO=H+CO2                                                                     -20.717       -24.487       -12.647       
 26     HO2+CO=OH+CO2                                                                   -59.505       -61.588       -6.989        
 27     O2+CO=O+CO2                                                                     -6.067        -8.058        -6.677        
 28     H+CH3(+M)=CH4(+M)                                                               -96.266       -104.985      -29.243       
 29     CH4+H=H2+CH3                                                                    -0.894        0.790         5.646         
 30     CH4+O=OH+CH3                                                                    0.128         2.291         7.252         
 31     CH4+OH=H2O+CH3                                                                  -14.775       -13.870       3.038         
 32     CH4+HO2=H2O2+CH3                                                                16.649        17.570        3.090         
 33     HO2+CH3=CH4+O2                                                                  -53.566       -55.821       -7.565        
 34     O2+CH3=O+CH3O                                                                   29.809        29.534        -0.924        
 35     O2+CH3=OH+CH2O                                                                  -52.423       -52.184       0.801         
 36     O+CH3=H+CH2O                                                                    -67.073       -68.614       -5.169        
 37     OH+CH3=H2+CH2O                                                                  -68.095       -70.115       -6.775        
 38     OH+CH3=H+CH2OH                                                                  5.311         3.964         -4.518        
 39     OH+CH3=H+CH3O                                                                   15.160        13.104        -6.894        
 40     HO2+CH3=OH+CH3O                                                                 -23.628       -23.997       -1.236        
 41     CH3OH(+M)=OH+CH3(+M)                                                            82.307        92.087        32.803        
 42     CH3OH(+M)=H+CH2OH(+M)                                                           87.618        96.051        28.285        
 43     CH3OH+H=H2+CH3O                                                                 0.306         0.996         2.313         
 44     CH3OH+H=H2+CH2OH                                                                -9.542        -8.145        4.688         
 45     CH3OH+O=OH+CH3O                                                                 1.328         2.497         3.919         
 46     CH3OH+O=OH+CH2OH                                                                -8.521        -6.644        6.294         
 47     CH3OH+OH=H2O+CH3O                                                               -13.575       -13.663       -0.295        
 48     CH3OH+OH=H2O+CH2OH                                                              -23.424       -22.804       2.080         
 49     CH3OH+O2=HO2+CH3O                                                               54.766        56.028        4.232         
 50     CH3OH+O2=HO2+CH2OH                                                              44.917        46.887        6.607         
 51     CH3OH+HO2=H2O2+CH3O                                                             17.849        17.776        -0.243        
 52     CH3OH+HO2=H2O2+CH2OH                                                            8.000         8.636         2.132         
 53     CH3OH+CH3=CH4+CH2OH                                                             -8.649        -8.935        -0.958        
 54     CH3OH+CH3=CH4+CH3O                                                              1.200         0.206         -3.333        
 55     CH3OH+HCO=CH2OH+CH2O                                                            8.011         7.875         -0.456        
 56     CH3OH+CH3O=CH3OH+CH2OH                                                          -9.849        -9.141        2.375         
 57     O2+CH2OH=HO2+CH2O                                                               -18.946       -19.047       -0.338        
 58     O2+CH2OH=HO2+CH2O                                                               -18.946       -19.047       -0.338        
 59     H+CH2OH=H2+CH2O                                                                 -73.406       -74.079       -2.257        
 60     HO2+CH2OH=H2O2+CH2O                                                             -55.863       -57.298       -4.812        
 61     CH2OH+HCO=2CH2O                                                                 -55.853       -58.059       -7.401        
 62     CH2OH+HCO=CH3OH+CO                                                              -78.198       -80.353       -7.229        
 63     CH3O+CH2OH=CH3OH+CH2O                                                           -73.712       -75.075       -4.569        
 64     OH+CH2OH=H2O+CH2O                                                               -87.288       -88.738       -4.865        
 65     O+CH2OH=OH+CH2O                                                                 -72.384       -72.578       -0.650        
 66     2CH2OH=CH3OH+CH2O                                                               -63.863       -65.934       -6.945        
 67     O2+CH3O=HO2+CH2O                                                                -28.795       -28.188       2.038         
 68     H+CH3O=H2+CH2O                                                                  -83.255       -83.219       0.119         
 69     HO2+CH3O=H2O2+CH2O                                                              -65.712       -66.439       -2.437        
 70     CH3+CH3O=CH4+CH2O                                                               -82.361       -84.009       -5.527        
 71     2CH3O=CH3OH+CH2O                                                                -83.561       -84.215       -2.194        
 72     H+HCO(+M)=CH2O(+M)                                                              -79.607       -88.176       -28.741       
 73     H2+CO(+M)=CH2O(+M)                                                              8.133         0.322         -26.200       
 74     O2+CH2O=HO2+HCO                                                                 36.906        39.012        7.063         
 75     O+CH2O=OH+HCO                                                                   -16.531       -14.519       6.751         
 76     H+CH2O=H2+HCO                                                                   -17.553       -16.019       5.144         
 77     OH+CH2O=H2O+HCO                                                                 -31.435       -30.679       2.536         
 78     HO2+CH2O=H2O2+HCO                                                               -0.011        0.761         2.589         
 79     CH3+CH2O=CH4+HCO                                                                -16.660       -16.809       -0.502        
 80     CH3O+CH2O=CH3OH+HCO                                                             -17.860       -17.015       2.832         
 81     HCO+M=H+CO+M                                                                    9.420         15.698        21.056        
 82     O2+HCO=HO2+CO                                                                   -33.281       -33.466       -0.622        
 83     O+HCO=OH+CO                                                                     -86.718       -86.997       -0.935        
 84     H+HCO=H2+CO                                                                     -87.740       -88.498       -2.541        
 85     OH+HCO=H2O+CO                                                                   -101.622      -103.157      -5.149        
 86     CH3+HCO=CH4+CO                                                                  -86.846       -89.287       -8.187        
 87     2HCO=CO+CH2O                                                                    -70.187       -72.478       -7.685        
 88     O+HCO=H+CO2                                                                     -107.435      -111.484      -13.581       
 89     HO2+HCO=>H+OH+CO2                                                               -50.085       -45.891       14.067        
 90     2HCO=>H2+2CO                                                                    -78.320       -72.800       18.515        
 91     H+CH2O(+M)=CH2OH(+M)                                                            -23.754       -30.117       -21.341       
 92     CH3O(+M)=H+CH2O(+M)                                                             13.905        20.976        23.716        
 93     HOCHO=H2O+CO                                                                    -3.640        6.313         33.383        
 94     HOCHO=H2+CO2                                                                    -10.475       -3.515        23.344        
 95     HOCHO+H=>H2+H+CO2                                                               -10.475       -3.515        23.344        
 96     HOCHO+H=>H2+OH+CO                                                               10.242        20.972        35.991        
 97     HOCHO+O=>2OH+CO                                                                 11.264        22.473        37.597        
 98     HOCHO+OH=>H+H2O+CO2                                                             -24.357       -18.174       20.736        
 99     HOCHO+OH=>H2O+OH+CO                                                             -3.640        6.313         33.383        
 100    HOCHO+CH3=>CH4+OH+CO                                                            11.135        20.183        30.345        
 101    HOCHO+HO2=>OH+H2O2+CO                                                           27.784        37.753        33.435        
 102    2CH3(+M)=C2H6(+M)                                                               -78.862       -90.187       -37.984       
 103    H+C2H5(+M)=C2H6(+M)                                                             -91.597       -100.755      -30.716       
 104    C2H6+O2=HO2+C2H5                                                                48.896        51.591        9.038         
 105    C2H6+O=OH+C2H5                                                                  -4.542        -1.940        8.725         
 106    C2H6+H=H2+C2H5                                                                  -5.563        -3.441        7.119         
 107    C2H6+OH=H2O+C2H5                                                                -19.445       -18.100       4.511         
 108    C2H6+HO2=H2O2+C2H5                                                              11.979        13.340        4.563         
 109    C2H6+CH3=CH4+C2H5                                                               -4.670        -4.231        1.473         
 110    C2H6+CH3O=CH3OH+C2H5                                                            -5.870        -4.437        4.806         
 111    H+C2H4(+M)=C2H5(+M)                                                             -29.556       -36.045       -21.765       
 112    H+C2H5=H2+C2H4                                                                  -67.604       -68.151       -1.832        
 113    2C2H4=C2H5+C2H3                                                                 71.683        74.393        9.091         
 114    CH3+C2H5=CH4+C2H4                                                               -66.711       -68.940       -7.478        
 115    O+C2H5=H+CH3CHO                                                                 -73.985       -75.795       -6.073        
 116    2CH3=H+C2H5                                                                     12.735        10.568        -7.268        
 117    O2+C2H5=HO2+C2H4                                                                -13.145       -13.119       0.087         
 118    O2+C2H5=OH+CH3CHO                                                               -59.335       -59.366       -0.103        
 119    H+C2H3(+M)=C2H4(+M)                                                             -101.238      -110.438      -30.856       
 120    C2H4+M=H2+C2H2+M                                                                33.992        41.998        26.853        
 121    O2+C2H4=HO2+C2H3                                                                58.538        61.274        9.178         
 122    H+C2H4=H2+C2H3                                                                  4.078         6.242         7.259         
 123    OH+C2H4=H2O+C2H3                                                                -9.803        -8.417        4.651         
 124    CH3O+C2H4=CH3OH+C2H3                                                            3.772         5.247         4.946         
 125    CH3+C2H4=CH4+C2H3                                                               4.972         5.453         1.613         
 126    CH3+C2H4=CH4+C2H3                                                               4.972         5.453         1.613         
 127    O+C2H4=CH3+HCO                                                                  -29.757       -27.051       9.076         
 128    O+C2H4=H+CH2CHO                                                                 -16.852       -16.952       -0.335        
 129    OH+C2H4=CH3+CH2O                                                                -13.226       -12.532       2.326         
 130    OH+C2H4=H+CH3CHO                                                                -7.402        -9.146        -5.847        
 131    H+C2H2(+M)=C2H3(+M)                                                             -29.914       -35.756       -19.594       
 132    O2+C2H3=O+CH2CHO                                                                -7.302        -8.265        -3.231        
 133    O2+C2H3=O+CH2CHO                                                                -7.302        -8.265        -3.231        
 134    O2+C2H3=HO2+C2H2                                                                -12.787       -13.408       -2.084        
 135    O2+C2H3=HO2+C2H2                                                                -12.787       -13.408       -2.084        
 136    O2+C2H3=OH+CH2CO                                                                -73.264       -73.517       -0.848        
 137    O2+C2H3=OH+CH2CO                                                                -73.264       -73.517       -0.848        
 138    O2+C2H3=CH2O+HCO                                                                -87.280       -86.979       1.012         
 139    O2+C2H3=CH2O+HCO                                                                -87.280       -86.979       1.012         
 140    O2+C2H3=>H+CO+CH2O                                                              -77.860       -71.281       22.069        
 141    O2+C2H3=>H+CO+CH2O                                                              -77.860       -71.281       22.069        
 142    O2+C2H3=CO+CH3O                                                                 -91.766       -92.257       -1.647        
 143    O2+C2H3=CO+CH3O                                                                 -91.766       -92.257       -1.647        
 144    O2+C2H3=CO2+CH3                                                                 -127.642      -129.849      -7.400        
 145    O2+C2H3=CO2+CH3                                                                 -127.642      -129.849      -7.400        
 146    H+C2H3=H2+C2H2                                                                  -67.246       -68.440       -4.003        
 147    OH+C2H3=H2O+C2H2                                                                -81.128       -83.099       -6.611        
 148    CH3+C2H3=CH4+C2H2                                                               -66.353       -69.230       -9.649        
 149    2C2H3=C2H4+C2H2                                                                 -71.324       -74.682       -11.262       
 150    H+C2H(+M)=C2H2(+M)                                                              -124.264      -133.323      -30.383       
 151    O+C2H2=H+HCCO                                                                   -19.326       -19.385       -0.196        
 152    HO2+C2H2=OH+CH2CO                                                               -60.477       -60.109       1.236         
 153    HCO+C2H2=CO+C2H3                                                                -20.494       -20.058       1.462         
 154    C2H2+HCCO=CO+C3H3                                                               -40.056       -39.560       1.662         
 155    OH+C2H2=H2O+C2H                                                                 13.222        14.468        4.178         
 156    OH+C2H2=H+CH2CO                                                                 -21.690       -23.008       -4.421        
 157    OH+C2H2=CO+CH3                                                                  -55.351       -54.852       1.673         
 158    O2+C2H=CO+HCO                                                                   -152.431      -152.183      0.833         
 159    H2+C2H=H+C2H2                                                                   -27.104       -29.127       -6.786        
 160    OH+C2H=H+HCCO                                                                   -47.452       -50.013       -8.588        
 161    CH3CHO(+M)=CH3+HCO(+M)                                                          73.783        84.789        36.914        
 162    CH3CHO(+M)=CH4+CO(+M)                                                           -13.063       -4.498        28.727        
 163    O2+CH3CHO=HO2+CH3CO                                                             38.233        40.195        6.582         
 164    O+CH3CHO=OH+CH3CO                                                               -15.205       -13.335       6.269         
 165    OH+CH3CHO=H2O+CH3CO                                                             -30.108       -29.496       2.055         
 166    HO2+CH3CHO=H2O2+CH3CO                                                           1.316         1.944         2.107         
 167    H+CH3CHO=H2+CH2CHO                                                              -10.471       -9.307        3.905         
 168    OH+CH3CHO=H2O+CH2CHO                                                            -24.353       -23.966       1.297         
 169    OH+CH3CHO=HOCHO+CH3                                                             -24.198       -24.681       -1.618        
 170    CH3CO=CO+CH3                                                                    2.270         11.128        29.710        
 171    O2+CH3CO=HO2+CH2CO                                                              -6.769        -6.192        1.938         
 172    CH3CO(+M)=H+CH2CO(+M)                                                           35.931        42.972        23.616        
 173    H+CH3CO=H2+CH2CO                                                                -61.229       -61.223       0.019         
 174    O+CH3CO=OH+CH2CO                                                                -60.207       -59.722       1.625         
 175    CH3+CH3CO=CH4+CH2CO                                                             -60.335       -62.013       -5.627        
 176    CH2CHO(+M)=H+CH2CO(+M)                                                          30.176        37.443        24.374        
 177    CH2CHO(+M)=CO+CH3(+M)                                                           -3.485        5.599         30.468        
